PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",0,1756278204347,1756278204546,Shift,16, daily, physical-keyboard,0,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",1,1756278204493,1756278204618,M,77, daily, physical-keyboard,0,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",2,1756278204609,1756278204730,a,65, daily, physical-keyboard,1,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",3,1756278204725,1756278204831,k,75, daily, physical-keyboard,2,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",4,1756278204822,1756278204907,e,69, daily, physical-keyboard,3,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",5,1756278204928,1756278205040, ,32, daily, physical-keyboard,4,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",6,1756278205498,1756278205593,a,65, daily, physical-keyboard,5,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",7,1756278205594,1756278205729,n,78, daily, physical-keyboard,6,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",8,1756278205684,1756278205796, ,32, daily, physical-keyboard,7,0,0
6672bf56d51710391ce2164d,prompt-to-image,1,7,4,"Make an image that looks like an oil painting of a bird who is flying above water, while holding a small mouse in its feet.","[19,45]","[111,122]",9,1756278205848,1756278205942,i,73, daily, physical-keyboard,8,0,0
