PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",0,1755622665011,1755622665171,CapsLock,20, weekly, physical-keyboard,-1
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",1,1755622665235,1755622665331,I,73, weekly, physical-keyboard,0
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",2,1755622665283,1755622665395,CapsLock,20, weekly, physical-keyboard,-1
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",3,1755622666475,1755622666563, ,32, weekly, physical-keyboard,-1
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",4,1755622666595,1755622666731,w,87, weekly, physical-keyboard,2
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",5,1755622666698,1755622666795,a,65, weekly, physical-keyboard,3
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",6,1755622666755,1755622666843,n,78, weekly, physical-keyboard,4
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",7,1755622666955,1755622667051,t,84, weekly, physical-keyboard,5
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",8,1755622667035,1755622667131, ,32, weekly, physical-keyboard,-1
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",9,1755622667171,1755622667251,t,84, weekly, physical-keyboard,7
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",10,1755622667275,1755622667363,o,79, weekly, physical-keyboard,8
6140ef8d27499e70e8740918,prompt-to-text,1,4,4,"I want to write an email to my boss about our next project, mainly want to ask all the timelines with every task i'm assigned to so I don't forget to ask for any information, can you help me write a template email with what you think might be useful to ask?","[19,35];[175,256];[75,128]","[132,173]",11,1755622667443,1755622667523, ,32, weekly, physical-keyboard,-1
