PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",0,1756298486437,1756298488902,CapsLock,20, daily, physical-keyboard,-1,0,0,0
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",1,1756298488769,1756298488858,P,80, daily, physical-keyboard,0,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",2,1756298489044,1756298489162,h,72, daily, physical-keyboard,1,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",3,1756298489184,1756298489276,o,79, daily, physical-keyboard,2,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",4,1756298489327,1756298489416,t,84, daily, physical-keyboard,3,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",5,1756298489416,1756298489527,o,79, daily, physical-keyboard,4,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",6,1756298489676,1756298489790,r,82, daily, physical-keyboard,5,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",7,1756298489789,1756298489871,e,69, daily, physical-keyboard,6,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",8,1756298490022,1756298490133,a,65, daily, physical-keyboard,7,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",9,1756298490172,1756298490307,l,76, daily, physical-keyboard,8,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",10,1756298490289,1756298490359,i,73, daily, physical-keyboard,9,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",11,1756298490482,1756298490586,s,83, daily, physical-keyboard,10,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",12,1756298490701,1756298490787,t,84, daily, physical-keyboard,11,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",13,1756298490765,1756298490863,i,73, daily, physical-keyboard,12,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",14,1756298490978,1756298491098,c,67, daily, physical-keyboard,13,0,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,1,2,5,"Photorealistic image of a calm river. There are forests, ducks, plants and a lot of greenery in general. There are 4 ducks, beautiful reflections. The sky is blue and has a few beautiful clouds. It's like a photorealistic painting.","[26,36];[48,70];[115,122]","[207,230]",15,1756298491106,1756298491214, ,32, daily, physical-keyboard,14,0,0,0
