PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",0,1756301808892,1756301809308,Shift,16, monthly, physical-keyboard,0
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",1,1756301809253,1756301809340,G,71, monthly, physical-keyboard,0
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",2,1756301809541,1756301809645,e,69, monthly, physical-keyboard,1
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",3,1756301809709,1756301809781,n,78, monthly, physical-keyboard,2
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",4,1756301809845,1756301809917,e,69, monthly, physical-keyboard,3
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",5,1756301810101,1756301810197,r,82, monthly, physical-keyboard,4
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",6,1756301810468,1756301810588,a,65, monthly, physical-keyboard,5
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",7,1756301810652,1756301810724,t,84, monthly, physical-keyboard,6
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",8,1756301810797,1756301810892,e,69, monthly, physical-keyboard,7
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",9,1756301810972,1756301811036, ,32, monthly, physical-keyboard,8
663378460f834e9670d1508c,prompt-to-text,1,3,1,Generate a blog content for my blog page. The title should be relevant to sustainabilty and health. The title length should be 7 words exactly. The contents should not exceed 150 words,"[11,23];[74,98]","[127,134];[175,184]",10,1756301811124,1756301811236,a,65, monthly, physical-keyboard,9
