PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",0,1756293489002,1756293489089,m,77, monthly, physical-keyboard,0,1,0,1,87.0,,,280.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",1,1756293489146,1756293489282,a,65, monthly, physical-keyboard,1,1,0,1,136.0,144.0,193.0,304.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",2,1756293489370,1756293489450,k,75, monthly, physical-keyboard,2,1,0,1,80.0,224.0,168.0,359.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",3,1756293489634,1756293489729,e,69, monthly, physical-keyboard,3,1,0,1,95.0,264.0,279.0,743.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",4,1756293490258,1756293490377, ,32, monthly, physical-keyboard,4,1,0,0,119.0,624.0,648.0,416.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",5,1756293490554,1756293490674,a,65, monthly, physical-keyboard,5,1,0,1,120.0,296.0,297.0,408.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",6,1756293490850,1756293490962, ,32, monthly, physical-keyboard,5,1,0,1,112.0,296.0,288.0,9080.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",7,1756293499850,1756293499930,Backspace,8, monthly, physical-keyboard,5,1,0,1,80.0,9000.0,8968.0,272.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",8,1756293500050,1756293500122,Backspace,8, monthly, physical-keyboard,5,1,0,1,72.0,200.0,192.0,928.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",9,1756293500850,1756293500978,t,84, monthly, physical-keyboard,5,1,0,1,128.0,800.0,856.0,336.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",10,1756293501106,1756293501186,h,72, monthly, physical-keyboard,6,1,0,1,80.0,256.0,208.0,272.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",11,1756293501258,1756293501378,e,69, monthly, physical-keyboard,7,1,0,1,120.0,152.0,192.0,272.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",12,1756293501466,1756293501530, ,32, monthly, physical-keyboard,8,1,0,0,64.0,208.0,152.0,576.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",13,1756293501970,1756293502042,p,80, monthly, physical-keyboard,9,1,0,1,72.0,504.0,512.0,432.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",14,1756293502330,1756293502402,i,73, monthly, physical-keyboard,10,1,0,1,72.0,360.0,360.0,352.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",15,1756293502554,1756293502682,c,67, monthly, physical-keyboard,11,1,0,1,128.0,224.0,280.0,488.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",16,1756293502978,1756293503042,t,84, monthly, physical-keyboard,12,1,0,1,64.0,424.0,360.0,552.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",17,1756293503450,1756293503530,u,85, monthly, physical-keyboard,13,1,0,1,80.0,472.0,488.0,344.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",18,1756293503658,1756293503794,r,82, monthly, physical-keyboard,14,1,0,1,136.0,208.0,264.0,288.0
66321cfc446914f3b199e193,prompt-to-image,1,6,3,make the picture of a truck with no glass in front of it. there should be the metal part of the truck in the place of the glasses. the truck should be in dark green colour. there should be a rectangle place on top of the truck to place the name of the ruck.,"[0,27];[131,171];[173,257]","[28,56];[58,129]",19,1756293503834,1756293503946,e,69, monthly, physical-keyboard,15,1,0,1,112.0,176.0,152.0,336.0
