PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",0,1756286431853,1756286432254,Shift,16, daily, physical-keyboard,0,1
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",1,1756286432170,1756286432288,H,72, daily, physical-keyboard,0,1
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",2,1756286432381,1756286432473,e,69, daily, physical-keyboard,1,1
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",3,1756286433065,1756286433142,l,76, daily, physical-keyboard,2,1
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",4,1756286433377,1756286433490,p,80, daily, physical-keyboard,3,1
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",5,1756286433531,1756286433627, ,32, daily, physical-keyboard,4,0
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",6,1756286433735,1756286433850,m,77, daily, physical-keyboard,5,1
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",7,1756286433867,1756286433968,e,69, daily, physical-keyboard,6,1
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",8,1756286433968,1756286434086, ,32, daily, physical-keyboard,7,0
65f03cac071873738667ccbb,prompt-to-text,0,0,3,Help me write a short story about a man trying to escape from a search party. The setting is a futuristic dystoia where the Apple corporation has taken over the world and would hunt down any Android user.,"[0,76];[142,203]","[93,141]",9,1756286434575,1756286434670,w,87, daily, physical-keyboard,8,1
