PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",0,1756297752666,1756297752846,CapsLock,20, daily, physical-keyboard,-1,0
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",1,1756297752770,1756297752872,C,67, daily, physical-keyboard,0,1
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",2,1756297753055,1756297753201,r,82, daily, physical-keyboard,1,1
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",3,1756297753171,1756297753273,e,69, daily, physical-keyboard,2,1
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",4,1756297753218,1756297753362,a,65, daily, physical-keyboard,3,1
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",5,1756297753374,1756297753464,t,84, daily, physical-keyboard,4,1
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",6,1756297753438,1756297753561,e,69, daily, physical-keyboard,5,1
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",7,1756297753559,1756297753641, ,32, daily, physical-keyboard,6,0
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",8,1756297753615,1756297753738,a,65, daily, physical-keyboard,7,1
65cf6d8a589a67afcab54e6f,image-to-prompt,0,0,5,"Create an image of a modern office. There are two desks side by side. The panel of the desks is white and the legs are black. There are also two white modern chairs for each desk. On each desk there's a computer monitor. On the left desk there's a man with bronze hair and on the right one there's a woman. The photo is taken from behind so we can see only their back. The image is symmetric. In front of them there are also two large windows and natural light comes in. There are also other elements like pencils, office lighting, etc. The image is photorealistic but also a bit cartoonish.","[180,219];[425,442];[447,469];[46,68];[21,34]","[580,590];[515,530]",9,1756297753796,1756297753948,n,78, daily, physical-keyboard,8,1
