PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",0,1756271936126,1756271937018,Shift,16, rarely, physical-keyboard,0
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",1,1756271936626,1756272002683,Shift,16, rarely, physical-keyboard,0
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",2,1756271936678,1756272047802,Shift,16, rarely, physical-keyboard,0
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",3,1756271936731,0,Shift,16, rarely, physical-keyboard,0
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",4,1756271936782,0,Shift,16, rarely, physical-keyboard,0
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",5,1756271936834,0,Shift,16, rarely, physical-keyboard,0
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",6,1756271936849,1756271936941,W,87, rarely, physical-keyboard,0
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",7,1756271938117,1756271938268,h,72, rarely, physical-keyboard,1
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",8,1756271938388,1756271938471,a,65, rarely, physical-keyboard,2
6725c4a8e3ab0787551acf38,image-to-prompt,1,1,4,"What appears to be a painted picture of a river that bends, there are 3 ducks on the river. On either side of the river are bushes, trees and a few rocks. There are clouds in the sky, some of them grey.","[155,202]","[0,36]",9,1756271938554,1756271938664,t,84, rarely, physical-keyboard,3
