PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",0,1755624216946,1755624217090,CapsLock,20, weekly, physical-keyboard,-1,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",1,1755624217162,1755624217252,P,80, weekly, physical-keyboard,0,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",2,1755624217211,1755624217341,CapsLock,20, weekly, physical-keyboard,-1,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",3,1755624217381,1755624217452,l,76, weekly, physical-keyboard,1,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",4,1755624217605,1755624217707,e,69, weekly, physical-keyboard,2,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",5,1755624217857,1755624217984,a,65, weekly, physical-keyboard,3,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",6,1755624218094,1755624218215,s,83, weekly, physical-keyboard,4,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",7,1755624218425,1755624218490, ,32, weekly, physical-keyboard,5,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",8,1755624218661,1755624218748,g,71, weekly, physical-keyboard,6,0,0
65fc95c627592d85499ae358,prompt-to-image,1,6,3,Pleas generate a gkowingbfuturistic city at sunst with flying cars and neon lights. a river should be availabl that flows in the middle,"[36,136]","[15,35]",9,1755624218742,1755624218862,e,69, weekly, physical-keyboard,7,0,0
