PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",0,1755622460326,1755622460525,CapsLock,20, weekly, physical-keyboard,-1,0,0,0
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",1,1755622460701,1755622460871,CapsLock,20, weekly, physical-keyboard,-1,0,0,0
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",2,1755622460874,1755622460972,H,72, weekly, physical-keyboard,0,0,0,1
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",3,1755622461032,1755622461176,CapsLock,20, weekly, physical-keyboard,-1,0,0,0
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",4,1755622461215,1755622461296,i,73, weekly, physical-keyboard,1,0,0,1
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",5,1755622461703,1755622461785, ,32, weekly, physical-keyboard,2,0,0,0
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",6,1755622462481,1755622462552,p,80, weekly, physical-keyboard,3,0,1,1
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",7,1755622462706,1755622462788,l,76, weekly, physical-keyboard,4,0,1,1
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",8,1755622463010,1755622463099,e,69, weekly, physical-keyboard,5,0,1,1
65fc95c627592d85499ae358,prompt-to-text,0,0,3,Hi please help me and give suggestions for a possible table of contents for an attachment report I will be writing to submit to my supervisor in a days time.,"[107,157]","[3,27]",9,1755622463314,1755622463424,a,65, weekly, physical-keyboard,6,0,1,1
