PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",0,1756270516875,1756270517080,Shift,16, daily, physical-keyboard,0
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",1,1756270516972,1756270517049,C,67, daily, physical-keyboard,0
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",2,1756270517187,1756270517258,r,82, daily, physical-keyboard,1
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",3,1756270517370,1756270517407,e,69, daily, physical-keyboard,2
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",4,1756270519672,1756270519758,a,65, daily, physical-keyboard,3
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",5,1756270519920,1756270519957,r,82, daily, physical-keyboard,4
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",6,1756270520492,1756270520621,Backspace,8, daily, physical-keyboard,4
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",7,1756270521258,1756270521347,t,84, daily, physical-keyboard,4
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",8,1756270521407,1756270521481,e,69, daily, physical-keyboard,5
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",9,1756270521573,1756270521669, ,32, daily, physical-keyboard,-1
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",10,1756270521729,1756270521820,a,65, daily, physical-keyboard,7
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",11,1756270521991,1756270522084, ,32, daily, physical-keyboard,-1
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",12,1756270522329,1756270522590,Shift,16, daily, physical-keyboard,9
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",13,1756270522549,1756270522653,J,74, daily, physical-keyboard,9
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",14,1756270522689,1756270522778,a,65, daily, physical-keyboard,10
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",15,1756270522756,1756270522855,p,80, daily, physical-keyboard,11
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",16,1756270522915,1756270522988,a,65, daily, physical-keyboard,12
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",17,1756270523013,1756270523118,n,78, daily, physical-keyboard,13
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",18,1756270523193,1756270523250,e,69, daily, physical-keyboard,14
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",19,1756270523372,1756270523447,s,83, daily, physical-keyboard,15
664b44d8a11f1bcbba9e0494,prompt-to-image,0,1,7,Create a Japanese anime style female character with brown eyes and hair wearing a Tanuki costume eating lunch in a traditional Japanese home.,"[9,46]","[115,141]",20,1756270523574,1756270523632,e,69, daily, physical-keyboard,16
