PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",0,1756272522037,1756272522231,Shift,16, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",1,1756272522192,1756272522250,C,67, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",2,1756272522459,1756272522536,r,82, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",3,1756272522669,1756272522753,e,69, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",4,1756272522812,1756272522945,a,65, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",5,1756272523331,1756272523440,t,84, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",6,1756272524366,1756272524478,e,69, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",7,1756272525311,1756272525451,a,65, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",8,1756272525530,1756272525638, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",9,1756272525888,1756272525985,r,82, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,image-to-prompt,0,5,1,"Create a realistic image of a male and a female sitting facing the window in an office, they are busy on their desktops. On the table are lamps on every side of the table and a flower vase at the centre.","[9,86];[177,203]","[97,119]",10,1756272526160,1756272526240,e,69, weekly, physical-keyboard
