PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",0,1756283766699,1756283766804,a,65, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",1,1756283766852,1756283766955, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",2,1756283767159,1756283767282,y,89, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",3,1756283767422,1756283767612,o,79, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",4,1756283767606,1756283767674,u,85, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",5,1756283767865,1756283767929,n,78, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",6,1756283768070,1756283768190,g,71, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",7,1756283768252,1756283768339, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",8,1756283768908,1756283769061,w,87, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",9,1756283769169,1756283769304,o,79, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",10,1756283770417,1756283770501,m,77, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",11,1756283770688,1756283770842,a,65, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",12,1756283770916,1756283771036,n,78, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",13,1756283771171,1756283771289, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",14,1756283771946,1756283772010,i,73, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",15,1756283772144,1756283772274,s,83, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",16,1756283772283,1756283772371, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",17,1756283772600,1756283772668,g,71, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",18,1756283772763,1756283772891,e,69, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",19,1756283772943,1756283773003,t,84, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",20,1756283773075,1756283773145,t,84, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",21,1756283773657,1756283773715,i,73, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",22,1756283773928,1756283774003,n,78, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",23,1756283774110,1756283774251,g,71, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",24,1756283774300,1756283774387, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",25,1756283774504,1756283774628,r,82, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",26,1756283774760,1756283774858,e,69, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",27,1756283775050,1756283775205,a,65, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",28,1756283775412,1756283775576,d,68, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",29,1756283775632,1756283775725,y,89, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",30,1756283776569,1756283776652, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",31,1756283777159,1756283777295,f,70, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",32,1756283777330,1756283777396,o,79, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",33,1756283777500,1756283777661,r,82, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",34,1756283777728,1756283777863, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",35,1756283778952,1756283779033,h,72, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",36,1756283779107,1756283779251,e,69, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",37,1756283779366,1756283779422,r,82, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",38,1756283779525,1756283779661, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",39,1756283779942,1756283780082,f,70, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",40,1756283780141,1756283780199,i,73, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",41,1756283780268,1756283780371,r,82, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",42,1756283780655,1756283780810,s,83, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",43,1756283781372,1756283781495,t,84, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",44,1756283781715,1756283781822, ,32, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",45,1756283783363,1756283783450,d,68, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",46,1756283783610,1756283783811,a,65, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",47,1756283783816,1756283783907,t,84, weekly, physical-keyboard
673f7365f63a4a3036aae1f2,prompt-to-text,0,0,2,a young woman is getting ready for her first date she stands in front of a mirror delicately applying her makeup the soft morning light illuminates the bathroom revealing her focused expression and the nervous excitement in the air brushes and makeup products are scattered across the sink and an elegant perfume bottle sits beside them.,"[0,112]","[113,231]",48,1756283784015,1756283784179,e,69, weekly, physical-keyboard
