PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",0,1756301378789,1756301379036,Shift,16, monthly, physical-keyboard,0
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",1,1756301378989,1756301379084,D,68, monthly, physical-keyboard,0
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",2,1756301379221,1756301379301,r,82, monthly, physical-keyboard,1
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",3,1756301379549,1756301379685,a,65, monthly, physical-keyboard,2
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",4,1756301379836,1756301379892,f,70, monthly, physical-keyboard,3
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",5,1756301380028,1756301380084,t,84, monthly, physical-keyboard,4
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",6,1756301380325,1756301380388, ,32, monthly, physical-keyboard,5
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",7,1756301381093,1756301381228,a,65, monthly, physical-keyboard,6
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",8,1756301381277,1756301381324,n,78, monthly, physical-keyboard,7
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",9,1756301381485,1756301381548, ,32, monthly, physical-keyboard,8
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",10,1756301381660,1756301381757,e,69, monthly, physical-keyboard,9
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",11,1756301381837,1756301381908,m,77, monthly, physical-keyboard,10
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",12,1756301382005,1756301382125,a,65, monthly, physical-keyboard,11
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",13,1756301382180,1756301382244,i,73, monthly, physical-keyboard,12
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",14,1756301382500,1756301382588,l,76, monthly, physical-keyboard,13
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",15,1756301382764,1756301382924, ,32, monthly, physical-keyboard,14
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",16,1756301384260,1756301384357,t,84, monthly, physical-keyboard,15
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",17,1756301384429,1756301384500,o,79, monthly, physical-keyboard,16
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",18,1756301384661,1756301384764, ,32, monthly, physical-keyboard,17
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",19,1756301384916,1756301384980,m,77, monthly, physical-keyboard,18
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",20,1756301385180,1756301385212,y,89, monthly, physical-keyboard,18
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",21,1756301387702,1756301387780,Backspace,8, monthly, physical-keyboard,18
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",22,1756301387884,1756301387956,Backspace,8, monthly, physical-keyboard,18
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",23,1756301388469,1756301388564,s,83, monthly, physical-keyboard,18
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",24,1756301388725,1756301388813,e,69, monthly, physical-keyboard,19
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",25,1756301388844,1756301388932,n,78, monthly, physical-keyboard,20
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",26,1756301389053,1756301389140,d,68, monthly, physical-keyboard,21
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",27,1756301389213,1756301389261, ,32, monthly, physical-keyboard,22
663378460f834e9670d1508c,prompt-to-text,0,1,1,"Draft an email to send it to my friend who is on a vacation abroad. The tone should be informal, concerning, and charming. Enquire about journey, their safety and accomodations. Also add a request to send pictures and safe return journey message.","[9,14];[32,38];[123,130];[238,245];[51,66]","[97,107];[113,121]",28,1756301389477,1756301389541,i,73, monthly, physical-keyboard,23
