PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",0,1756230878099,1756230878219,w,87, daily, physical-keyboard,0
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",1,1756230878626,1756230878669,h,72, daily, physical-keyboard,1
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",2,1756230879064,1756230879094,t,84, daily, physical-keyboard,2
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",3,1756230879844,1756230879893,Backspace,8, daily, physical-keyboard,2
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",4,1756230879998,1756230880101,a,65, daily, physical-keyboard,2
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",5,1756230880704,1756230880757,t,84, daily, physical-keyboard,3
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",6,1756230881034,1756230881078, ,32, daily, physical-keyboard,4
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",7,1756230881272,1756230881329,a,65, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",8,1756230881492,1756230881539,m,77, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",9,1756230881805,1756230881858,e,69, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",10,1756230882020,1756230882075,s,83, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",11,1756230882453,1756230882507, ,32, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",12,1756230883186,1756230883250,Backspace,8, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",13,1756230883382,1756230883433,Backspace,8, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",14,1756230883561,1756230883614,Backspace,8, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",15,1756230883754,1756230883806,Backspace,8, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",16,1756230884020,1756230884086,Backspace,8, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",17,1756230884696,1756230884747,m,77, daily, physical-keyboard,5
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",18,1756230884906,1756230884966,a,65, daily, physical-keyboard,6
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",19,1756230885150,1756230885197,k,75, daily, physical-keyboard,7
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",20,1756230885354,1756230885402,e,69, daily, physical-keyboard,8
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",21,1756230885566,1756230885617,s,83, daily, physical-keyboard,9
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",22,1756230885826,1756230885878, ,32, daily, physical-keyboard,10
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",23,1756230886436,1756230886504,t,84, daily, physical-keyboard,11
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",24,1756230886690,1756230886742,h,72, daily, physical-keyboard,12
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",25,1756230886871,1756230886931,e,69, daily, physical-keyboard,13
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",26,1756230887118,1756230887169, ,32, daily, physical-keyboard,14
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",27,1756230887383,1756230887448,r,82, daily, physical-keyboard,15
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",28,1756230887693,1756230887742,i,73, daily, physical-keyboard,16
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",29,1756230888106,1756230888158,v,86, daily, physical-keyboard,17
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",30,1756230888251,1756230888311,e,69, daily, physical-keyboard,18
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",31,1756230888482,1756230888529,r,82, daily, physical-keyboard,19
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",32,1756230888976,1756230889021, ,32, daily, physical-keyboard,20
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",33,1756230889399,1756230889454,f,70, daily, physical-keyboard,21
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",34,1756230889608,1756230889657,l,76, daily, physical-keyboard,22
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",35,1756230889839,1756230889886,o,79, daily, physical-keyboard,23
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",36,1756230890453,1756230890505,w,87, daily, physical-keyboard,24
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",37,1756230890771,1756230890823, ,32, daily, physical-keyboard,25
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",38,1756230891706,1756230891791,t,84, daily, physical-keyboard,26
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",39,1756230891929,1756230891978,o,79, daily, physical-keyboard,26
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",40,1756230892428,1756230892496,w,87, daily, physical-keyboard,27
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",41,1756230892668,1756230892756,a,65, daily, physical-keyboard,27
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",42,1756230893625,1756230893680,r,82, daily, physical-keyboard,27
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",43,1756230893878,1756230893919,d,68, daily, physical-keyboard,27
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",44,1756230894061,1756230894118,s,83, daily, physical-keyboard,27
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",45,1756230894344,1756230894399, ,32, daily, physical-keyboard,28
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",46,1756230894820,1756230894876,o,79, daily, physical-keyboard,29
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",47,1756230895108,1756230895166,n,78, daily, physical-keyboard,30
664c8dd7baa052f7b1e88417,prompt-to-text,0,5,7,What makes the river flow in one direction? I'm really concerned.,"[0,43]","[44,64]",48,1756230895447,1756230895493,e,69, daily, physical-keyboard,31
