PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",0,1756241860885,1756241860967,g,71, daily, physical-keyboard,0,1,0,1,82.0,,,451.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",1,1756241861259,1756241861336,e,69, daily, physical-keyboard,1,1,0,1,77.0,374.0,369.0,156.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",2,1756241861336,1756241861415,n,78, daily, physical-keyboard,2,1,0,1,79.0,77.0,79.0,169.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",3,1756241861445,1756241861505,e,69, daily, physical-keyboard,3,1,0,1,60.0,109.0,90.0,301.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",4,1756241861674,1756241861746,r,82, daily, physical-keyboard,4,1,0,1,72.0,229.0,241.0,261.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",5,1756241861874,1756241861935,a,65, daily, physical-keyboard,5,1,0,1,61.0,200.0,189.0,161.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",6,1756241861976,1756241862035,t,84, daily, physical-keyboard,6,1,0,1,59.0,102.0,100.0,180.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",7,1756241862094,1756241862156,e,69, daily, physical-keyboard,7,1,0,1,62.0,118.0,121.0,211.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",8,1756241862218,1756241862305, ,32, daily, physical-keyboard,8,1,0,0,87.0,124.0,149.0,1002.9999999999999
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",9,1756241863149,1756241863221,m,77, daily, physical-keyboard,9,1,0,1,72.0,931.0,916.0,248.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",10,1756241863327,1756241863397, ,32, daily, physical-keyboard,10,1,0,0,70.0,178.0,176.0,487.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",11,1756241863717,1756241863814,a,65, daily, physical-keyboard,11,1,0,1,97.0,390.0,417.0,219.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",12,1756241863866,1756241863936,n,78, daily, physical-keyboard,12,1,0,1,70.0,149.0,122.0,248.0
67bb91a04f5f96b7ac52242d,prompt-to-image,1,6,3,generate m an image of a lexus lx600 black in color and two passengers on the front seat ensuring that the logo is not scrambled and that the car on on a highway with trees on both sides of the road.,"[0,88]","[89,128]",13,1756241864063,1756241864114, ,32, daily, physical-keyboard,13,1,0,0,51.0,197.0,178.0,541.0
