PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",0,1756279182910,1756279183134,Shift,16, weekly, physical-keyboard,0,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",1,1756279183073,1756279183158,G,71, weekly, physical-keyboard,0,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",2,1756279183268,1756279183345,i,73, weekly, physical-keyboard,1,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",3,1756279183341,1756279183402,v,86, weekly, physical-keyboard,2,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",4,1756279183503,1756279183600,e,69, weekly, physical-keyboard,3,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",5,1756279183588,1756279183717, ,32, weekly, physical-keyboard,4,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",6,1756279183699,1756279183819,m,77, weekly, physical-keyboard,5,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",7,1756279183841,1756279183909,e,69, weekly, physical-keyboard,6,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",8,1756279183920,1756279184001, ,32, weekly, physical-keyboard,7,0,0
67450bce7a49cb1c784dcc2b,prompt-to-image,1,6,3,Give me a list of shows that are similar to New Girl. They can be in any language. Try to give at least 5 shows.,"[18,52]","[104,112]",9,1756279184047,1756279184170,a,65, weekly, physical-keyboard,8,0,0
