PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",0,1756281393251,1756281393254,p,80, daily, physical-keyboard,0,0,1,1,3.0,,,213.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",1,1756281393366,1756281393464,l,76, daily, physical-keyboard,1,0,1,1,98.0,115.0,210.0,124.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",2,1756281393395,1756281393490,e,69, daily, physical-keyboard,2,0,1,1,95.0,29.0,26.0,189.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",3,1756281393493,1756281393584,a,65, daily, physical-keyboard,3,0,1,1,91.0,98.0,94.0,218.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",4,1756281393570,1756281393711,s,83, daily, physical-keyboard,4,0,1,1,141.0,77.0,127.0,188.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",5,1756281393643,1756281393758,e,69, daily, physical-keyboard,5,0,1,1,115.0,73.0,47.0,174.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",6,1756281393720,1756281393817, ,32, daily, physical-keyboard,6,0,1,0,97.0,77.0,59.0,2065.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",7,1756281395706,1756281395785,p,80, daily, physical-keyboard,7,0,1,1,79.0,1986.0,1968.0,194.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",8,1756281395829,1756281395900,r,82, daily, physical-keyboard,8,0,1,1,71.0,123.0,115.0,171.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",9,1756281395918,1756281396000,o,79, daily, physical-keyboard,9,0,1,1,82.0,89.0,100.0,385.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",10,1756281396199,1756281396303,v,86, daily, physical-keyboard,10,0,1,1,104.0,281.0,303.0,207.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",11,1756281396327,1756281396406,i,73, daily, physical-keyboard,11,0,1,1,79.0,128.0,103.0,136.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",12,1756281396410,1756281396463,d,68, daily, physical-keyboard,12,0,1,1,53.0,83.0,57.0,204.0
60efc4347ae709f7f3dd8b04,image-to-prompt,0,3,2,"please provide an image of an office with white wall, two big windows floor to ceilings style. there are two office workers sitting at the desks, on each desk there is a computer screen and a table lamb. the worker on the left is a man and worker on the right is a woman. back view, no face showing, daytime lighting","[95,316]","[0,95]",13,1756281396545,1756281396614,e,69, daily, physical-keyboard,13,0,1,1,69.0,135.0,151.0,211.0
