PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",0,1756283985710,1756283985832,c,67, rarely, physical-keyboard,0,1,0,1,122.0,,,405.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",1,1756283985959,1756283986115,r,82, rarely, physical-keyboard,1,1,0,1,156.0,249.0,283.0,231.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",2,1756283986053,1756283986190,e,69, rarely, physical-keyboard,2,1,0,1,137.0,94.0,75.0,372.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",3,1756283986308,1756283986425,a,65, rarely, physical-keyboard,3,1,0,1,117.0,255.0,235.0,432.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",4,1756283986556,1756283986740,t,84, rarely, physical-keyboard,4,1,0,1,184.0,248.0,315.0,292.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",5,1756283986667,1756283986848,e,69, rarely, physical-keyboard,5,1,0,1,181.0,111.0,108.0,466.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",6,1756283986953,1756283987133, ,32, rarely, physical-keyboard,6,1,0,0,180.0,286.0,285.0,241.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",7,1756283987043,1756283987194,a,65, rarely, physical-keyboard,7,1,0,1,151.0,90.0,61.0,417.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",8,1756283987296,1756283987460, ,32, rarely, physical-keyboard,8,1,0,0,164.0,253.0,266.0,403.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",9,1756283987528,1756283987699,p,80, rarely, physical-keyboard,9,1,0,1,171.0,232.0,239.0,237.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",10,1756283987635,1756283987765,i,73, rarely, physical-keyboard,10,1,0,1,130.0,107.0,66.0,298.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",11,1756283987790,1756283987933,c,67, rarely, physical-keyboard,11,1,0,1,143.0,155.0,168.0,650.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",12,1756283988370,1756283988440,t,84, rarely, physical-keyboard,12,1,0,1,70.0,580.0,507.0,218.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",13,1756283988466,1756283988588,u,85, rarely, physical-keyboard,13,1,0,1,122.0,96.0,148.0,325.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",14,1756283988592,1756283988791,r,82, rarely, physical-keyboard,14,1,0,1,199.0,126.0,203.0,274.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",15,1756283988728,1756283988866,e,69, rarely, physical-keyboard,15,1,0,1,138.0,136.0,75.0,468.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",16,1756283989044,1756283989196, ,32, rarely, physical-keyboard,16,1,0,0,152.0,316.0,330.0,360.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",17,1756283989265,1756283989404,o,79, rarely, physical-keyboard,17,1,0,1,139.0,221.0,208.0,255.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",18,1756283989376,1756283989520,f,70, rarely, physical-keyboard,18,1,0,1,144.0,111.0,116.0,318.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",19,1756283989510,1756283989694, ,32, rarely, physical-keyboard,19,1,0,0,184.0,134.0,174.0,378.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",20,1756283989701,1756283989888,a,65, rarely, physical-keyboard,20,1,0,1,187.0,191.0,194.0,436.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",21,1756283989969,1756283990137, ,32, rarely, physical-keyboard,21,1,0,0,168.0,268.0,249.0,626.0
6150ca3f37e1fe330f70311d,prompt-to-image,1,7,5,"create a picture of a tiny black cat in a diaper, next to a sign saying to abolish cat litterboxes (include image of litterbox)","[0,48]","[60,127]",22,1756283990462,1756283990595,t,84, rarely, physical-keyboard,22,1,0,1,133.0,493.0,458.0,540.0
