PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",0,1756253431753,1756253431984,Shift,16, daily, physical-keyboard,0,1,0,1,231.0,,,211.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",1,1756253431887,1756253431964,G,71, daily, physical-keyboard,0,1,0,1,77.0,134.0,,288.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",2,1756253432069,1756253432175,e,69, daily, physical-keyboard,1,1,0,1,106.0,182.0,211.0,273.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",3,1756253432250,1756253432342,n,78, daily, physical-keyboard,2,1,0,1,92.0,181.0,167.0,183.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",4,1756253432317,1756253432433,e,69, daily, physical-keyboard,3,1,0,1,116.0,67.0,91.0,287.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",5,1756253432502,1756253432604,r,82, daily, physical-keyboard,4,1,0,1,102.0,185.0,171.0,279.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",6,1756253432613,1756253432781,a,65, daily, physical-keyboard,5,1,0,1,168.0,111.0,177.0,469.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",7,1756253432986,1756253433082,t,84, daily, physical-keyboard,6,1,0,1,96.0,373.0,301.0,287.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",8,1756253433179,1756253433273,e,69, daily, physical-keyboard,7,1,0,1,94.0,193.0,191.0,187.0
6672fea3fe6378e257b6ef25,prompt-to-text,0,5,7,"Generate a story about a man accidentally accepting to have an affair with his boss without noticing until it was too late and the gossip had already spread out, it should include only people in his office, no family involved, it should be dramatic but still plausible, make it engaging so people feel seen while reading it","[0,28];[52,83];[101,122];[122,160];[162,248]","[28,51];[83,101];[249,268];[269,323]",9,1756253433279,1756253433366, ,32, daily, physical-keyboard,8,1,0,0,87.0,100.0,93.0,294.0
