PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",0,1755623118792,1755623118912,CapsLock,20, weekly, physical-keyboard,-1,0,0,0,120.0,,,341.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",1,1755623119032,1755623119133,H,72, weekly, physical-keyboard,0,0,0,1,101.0,240.0,221.0,316.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",2,1755623119185,1755623119348,CapsLock,20, weekly, physical-keyboard,-1,0,0,0,163.0,153.0,215.0,233.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",3,1755623119350,1755623119418,o,79, weekly, physical-keyboard,1,0,0,1,68.0,165.0,70.0,380.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",4,1755623119660,1755623119730, ,32, weekly, physical-keyboard,2,0,0,0,70.0,310.0,312.0,355.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",5,1755623119944,1755623120015,c,67, weekly, physical-keyboard,3,0,0,1,71.0,284.0,285.0,243.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",6,1755623120065,1755623120187,a,65, weekly, physical-keyboard,4,0,0,1,122.0,121.0,172.0,205.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",7,1755623120206,1755623120270,n,78, weekly, physical-keyboard,5,0,0,1,64.0,141.0,83.0,275.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",8,1755623120401,1755623120481, ,32, weekly, physical-keyboard,6,0,0,0,80.0,195.0,211.0,758.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",9,1755623121079,1755623121159,w,87, weekly, physical-keyboard,7,0,0,1,80.0,678.0,678.0,745.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",10,1755623121707,1755623121824, ,32, weekly, physical-keyboard,8,0,0,1,117.0,628.0,665.0,892.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",11,1755623122458,1755623122599,Backspace,8, weekly, physical-keyboard,8,0,0,1,141.0,751.0,775.0,356.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",12,1755623122709,1755623122814,e,69, weekly, physical-keyboard,8,0,0,1,105.0,251.0,215.0,378.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",13,1755623122985,1755623123087, ,32, weekly, physical-keyboard,9,0,0,0,102.0,276.0,273.0,262.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",14,1755623123186,1755623123247,e,69, weekly, physical-keyboard,10,0,1,1,61.0,201.0,160.0,548.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",15,1755623123612,1755623123734,f,70, weekly, physical-keyboard,11,0,1,1,122.0,426.0,487.0,307.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",16,1755623123818,1755623123919,f,70, weekly, physical-keyboard,12,0,1,1,101.0,206.0,185.0,332.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",17,1755623124050,1755623124150,e,69, weekly, physical-keyboard,13,0,1,1,100.0,232.0,231.0,386.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",18,1755623124294,1755623124436,c,67, weekly, physical-keyboard,14,0,1,1,142.0,244.0,286.0,181.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",19,1755623124375,1755623124475,t,84, weekly, physical-keyboard,15,0,1,1,100.0,81.0,39.0,392.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",20,1755623124688,1755623124767,o,79, weekly, physical-keyboard,16,0,1,1,79.0,313.0,292.0,393.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",21,1755623125010,1755623125081,v,86, weekly, physical-keyboard,17,0,1,1,71.0,322.0,314.0,203.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",22,1755623125101,1755623125213,e,69, weekly, physical-keyboard,18,0,1,1,112.0,91.0,132.0,296.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",23,1755623125346,1755623125397,;,186, weekly, physical-keyboard,19,0,1,1,51.0,245.0,184.0,383.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",24,1755623125668,1755623125729,y,89, weekly, physical-keyboard,20,0,1,1,61.0,322.0,332.0,317.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",25,1755623125903,1755623125985, ,32, weekly, physical-keyboard,21,0,0,0,82.0,235.0,256.0,303.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",26,1755623126145,1755623126206,t,84, weekly, physical-keyboard,22,0,0,1,61.0,242.0,221.0,255.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",27,1755623126329,1755623126400,r,82, weekly, physical-keyboard,23,0,0,1,71.0,184.0,194.0,253.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",28,1755623126450,1755623126582,a,65, weekly, physical-keyboard,24,0,0,1,132.0,121.0,182.0,282.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",29,1755623126671,1755623126732,n,78, weekly, physical-keyboard,25,0,0,1,61.0,221.0,150.0,387.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",30,1755623126927,1755623127058,s,83, weekly, physical-keyboard,26,0,0,1,131.0,256.0,326.0,252.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",31,1755623127098,1755623127179,i,73, weekly, physical-keyboard,27,0,0,1,81.0,171.0,121.0,386.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",32,1755623127413,1755623127484,t,84, weekly, physical-keyboard,28,0,0,1,71.0,315.0,305.0,282.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",33,1755623127625,1755623127695,i,73, weekly, physical-keyboard,29,0,0,1,70.0,212.0,211.0,255.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",34,1755623127795,1755623127880,o,79, weekly, physical-keyboard,30,0,0,1,85.0,170.0,185.0,319.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",35,1755623128051,1755623128114,n,78, weekly, physical-keyboard,31,0,0,1,63.0,256.0,234.0,265.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",36,1755623128241,1755623128316, ,32, weekly, physical-keyboard,32,0,0,0,75.0,190.0,202.0,583.0
65fc95c627592d85499ae358,prompt-to-text,1,2,3,Ho can we effectove;y transition from carbon based fuels to much more greener  energy,"[38,85]","[10,20]",37,1755623128751,1755623128824,f,70, weekly, physical-keyboard,33,0,0,1,73.0,510.0,508.0,415.0
