PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",0,1756230247772,1756230247954,Shift,16, daily, physical-keyboard,0,0,0,1,182.0,,,222.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",1,1756230247913,1756230247994,G,71, daily, physical-keyboard,0,0,0,1,81.0,141.0,40.0,208.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",2,1756230248044,1756230248121,i,73, daily, physical-keyboard,1,0,0,1,77.0,131.0,127.0,186.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",3,1756230248131,1756230248230,v,86, daily, physical-keyboard,2,0,0,1,99.0,87.0,109.0,199.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",4,1756230248218,1756230248330,a,65, daily, physical-keyboard,3,0,0,1,112.0,87.0,100.0,449.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",5,1756230248614,1756230248667,Backspace,8, daily, physical-keyboard,3,0,0,1,53.0,396.0,337.0,162.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",6,1756230248692,1756230248776,e,69, daily, physical-keyboard,3,0,0,1,84.0,78.0,109.0,178.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",7,1756230248766,1756230248870, ,32, daily, physical-keyboard,4,0,0,0,104.0,74.0,94.0,184.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",8,1756230248896,1756230248950,m,77, daily, physical-keyboard,5,0,0,1,54.0,130.0,80.0,40.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",9,1756230248905,1756230248936,n,78, daily, physical-keyboard,6,0,0,1,31.0,9.0,,151.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",10,1756230248977,1756230249056,e,69, daily, physical-keyboard,6,0,0,1,79.0,72.0,120.0,456.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",11,1756230249391,1756230249433,Backspace,8, daily, physical-keyboard,6,0,0,1,42.0,414.0,377.0,174.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",12,1756230249518,1756230249565,Backspace,8, daily, physical-keyboard,6,0,0,1,47.0,127.0,132.0,163.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",13,1756230249609,1756230249681,e,69, daily, physical-keyboard,6,0,0,1,72.0,91.0,116.0,229.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",14,1756230249763,1756230249838, ,32, daily, physical-keyboard,7,0,0,0,75.0,154.0,157.0,259.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",15,1756230249919,1756230250022,a,65, daily, physical-keyboard,8,0,0,1,103.0,156.0,184.0,422.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",16,1756230250273,1756230250341,n,78, daily, physical-keyboard,9,0,0,0,68.0,354.0,319.0,243.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",17,1756230250432,1756230250516, ,32, daily, physical-keyboard,9,0,0,0,84.0,159.0,175.0,382.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",18,1756230250747,1756230250814,Backspace,8, daily, physical-keyboard,9,0,0,0,67.0,315.0,298.0,204.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",19,1756230250870,1756230250951,Backspace,8, daily, physical-keyboard,9,0,0,0,81.0,123.0,137.0,271.0
61717173748006894b2b54ff,prompt-to-text,1,2,3,Give me a vegan diet which have the same good calories.,"[10,20];[41,55]","[36,41]",20,1756230251026,1756230251141, ,32, daily, physical-keyboard,9,0,0,0,115.0,156.0,190.0,287.0
