PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",0,1756285511444,1756285511717,Shift,16, monthly, physical-keyboard,0,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",1,1756285511627,1756285511685,T,84, monthly, physical-keyboard,0,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",2,1756285511845,1756285511905,w,87, monthly, physical-keyboard,1,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",3,1756285511922,1756285511987,o,79, monthly, physical-keyboard,2,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",4,1756285512069,1756285512129, ,32, monthly, physical-keyboard,3,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",5,1756285512208,1756285512276,o,79, monthly, physical-keyboard,4,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",6,1756285512337,1756285512383,f,70, monthly, physical-keyboard,5,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",7,1756285512467,1756285512533,f,70, monthly, physical-keyboard,6,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",8,1756285512588,1756285512658,i,73, monthly, physical-keyboard,7,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",9,1756285512672,1756285512737,c,67, monthly, physical-keyboard,8,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",10,1756285512859,1756285512918,e,69, monthly, physical-keyboard,9,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",11,1756285512959,1756285513027, ,32, monthly, physical-keyboard,10,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",12,1756285513110,1756285513195,w,87, monthly, physical-keyboard,11,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",13,1756285513216,1756285513283,o,79, monthly, physical-keyboard,12,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",14,1756285513323,1756285513389,r,82, monthly, physical-keyboard,13,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",15,1756285513450,1756285513517,k,75, monthly, physical-keyboard,14,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",16,1756285513573,1756285513648,e,69, monthly, physical-keyboard,15,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",17,1756285513745,1756285513816,r,82, monthly, physical-keyboard,16,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",18,1756285513963,1756285514039,s,83, monthly, physical-keyboard,17,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",19,1756285514563,1756285514653, ,32, monthly, physical-keyboard,18,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",20,1756285514758,1756285514840,s,83, monthly, physical-keyboard,19,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",21,1756285514868,1756285514935,i,73, monthly, physical-keyboard,20,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",22,1756285514995,1756285515044,t,84, monthly, physical-keyboard,21,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",23,1756285515116,1756285515194,t,84, monthly, physical-keyboard,22,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",24,1756285515202,1756285515258,i,73, monthly, physical-keyboard,23,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",25,1756285515318,1756285515399,n,78, monthly, physical-keyboard,24,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",26,1756285515443,1756285515496,g,71, monthly, physical-keyboard,25,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",27,1756285515573,1756285515652, ,32, monthly, physical-keyboard,26,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",28,1756285516183,1756285516261,b,66, monthly, physical-keyboard,27,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",29,1756285516325,1756285516398,a,65, monthly, physical-keyboard,28,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",30,1756285516811,1756285516882,c,67, monthly, physical-keyboard,29,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",31,1756285516934,1756285516995,k,75, monthly, physical-keyboard,30,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",32,1756285517709,1756285517761,-,189, monthly, physical-keyboard,31,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",33,1756285517878,1756285517945,t,84, monthly, physical-keyboard,32,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",34,1756285518091,1756285518141,-,189, monthly, physical-keyboard,34,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",35,1756285519571,1756285519660,b,66, monthly, physical-keyboard,35,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",36,1756285519855,1756285519937,a,65, monthly, physical-keyboard,36,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",37,1756285520108,1756285520174,c,67, monthly, physical-keyboard,37,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",38,1756285520251,1756285520324,k,75, monthly, physical-keyboard,38,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",39,1756285520764,1756285520828, ,32, monthly, physical-keyboard,39,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",40,1756285520919,1756285520976,a,65, monthly, physical-keyboard,40,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",41,1756285521139,1756285521200,t,84, monthly, physical-keyboard,41,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",42,1756285521256,1756285521344, ,32, monthly, physical-keyboard,42,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",43,1756285521566,1756285521642,m,77, monthly, physical-keyboard,43,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",44,1756285521722,1756285521803,o,79, monthly, physical-keyboard,44,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",45,1756285521847,1756285521910,d,68, monthly, physical-keyboard,45,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",46,1756285521999,1756285522061,e,69, monthly, physical-keyboard,46,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",47,1756285522139,1756285522207,r,82, monthly, physical-keyboard,47,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",48,1756285522228,1756285522310,n,78, monthly, physical-keyboard,48,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",49,1756285522961,1756285523032, ,32, monthly, physical-keyboard,49,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",50,1756285523129,1756285523192,d,68, monthly, physical-keyboard,50,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",51,1756285523284,1756285523340,e,69, monthly, physical-keyboard,51,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",52,1756285523433,1756285523511,s,83, monthly, physical-keyboard,52,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",53,1756285523587,1756285523649,k,75, monthly, physical-keyboard,53,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",54,1756285523694,1756285523759,s,83, monthly, physical-keyboard,54,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",55,1756285523866,1756285523931,",",188, monthly, physical-keyboard,55,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",56,1756285524045,1756285524113, ,32, monthly, physical-keyboard,56,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",57,1756285524574,1756285524656,w,87, monthly, physical-keyboard,57,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",58,1756285524683,1756285524753,o,79, monthly, physical-keyboard,58,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",59,1756285524804,1756285524858,r,82, monthly, physical-keyboard,59,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",60,1756285524914,1756285524976,k,75, monthly, physical-keyboard,60,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",61,1756285525068,1756285525129,i,73, monthly, physical-keyboard,61,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",62,1756285525235,1756285525302,n,78, monthly, physical-keyboard,62,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",63,1756285525359,1756285525414,g,71, monthly, physical-keyboard,63,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",64,1756285525538,1756285525619, ,32, monthly, physical-keyboard,64,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",65,1756285525965,1756285526067,o,79, monthly, physical-keyboard,65,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",66,1756285526042,1756285526115,n,78, monthly, physical-keyboard,66,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",67,1756285526192,1756285526275, ,32, monthly, physical-keyboard,67,0
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",68,1756285526328,1756285526398,c,67, monthly, physical-keyboard,68,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",69,1756285526386,1756285526470,o,79, monthly, physical-keyboard,69,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",70,1756285526451,1756285526514,m,77, monthly, physical-keyboard,70,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",71,1756285526607,1756285526698,p,80, monthly, physical-keyboard,71,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",72,1756285526737,1756285526815,u,85, monthly, physical-keyboard,72,1
5d3b0da8a884020001881773,image-to-prompt,0,5,1,"Two office workers sitting back-to-back at modern desks, working on computers in a bright office with large industrial-style windows, minimalist decor and natural light.","[0,77]","[83,169]",73,1756285526836,1756285526897,t,84, monthly, physical-keyboard,73,1
