PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",0,1756270734840,1756270735054,Shift,16, daily, physical-keyboard,0,0,0,1,214.0,,,156.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",1,1756270734930,1756270734996,C,67, daily, physical-keyboard,0,0,0,1,66.0,90.0,,2104.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",2,1756270736967,1756270737034,r,82, daily, physical-keyboard,1,0,0,1,67.0,2037.0,2037.9999999999998,262.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",3,1756270737169,1756270737229,e,69, daily, physical-keyboard,2,0,0,1,60.0,202.0,195.0,324.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",4,1756270737402,1756270737493,a,65, daily, physical-keyboard,3,0,0,1,91.0,233.0,264.0,226.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",5,1756270737523,1756270737628,t,84, daily, physical-keyboard,4,0,0,1,105.0,121.0,135.0,276.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",6,1756270737734,1756270737799,e,69, daily, physical-keyboard,5,0,0,1,65.0,211.0,171.0,420.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",7,1756270738054,1756270738154, ,32, daily, physical-keyboard,6,0,0,0,100.0,320.0,355.0,885.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",8,1756270738849,1756270738939,a,65, daily, physical-keyboard,7,0,0,1,90.0,795.0,785.0,248.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",9,1756270739014,1756270739097,n,78, daily, physical-keyboard,8,0,0,1,83.0,165.0,158.0,293.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",10,1756270739224,1756270739307, ,32, daily, physical-keyboard,9,0,0,0,83.0,210.0,210.0,285.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",11,1756270739412,1756270739509,i,73, daily, physical-keyboard,10,0,0,1,97.0,188.0,202.0,307.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",12,1756270739614,1756270739719,m,77, daily, physical-keyboard,11,0,0,1,105.0,202.0,210.0,263.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",13,1756270739802,1756270739877,a,65, daily, physical-keyboard,12,0,0,1,75.0,188.0,158.0,427.0
664b44d8a11f1bcbba9e0494,image-to-prompt,0,4,7,"Create an image of two co-workers working side by side on their computer side by side. Their back facing us, their face facing the computer at the window in an industrial style office setting.","[23,85]","[160,191]",14,1756270740169,1756270740229,g,71, daily, physical-keyboard,13,0,0,1,60.0,367.0,352.0,338.0
