PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",0,1756295655154,1756295655532,Shift,16, weekly, physical-keyboard,0,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",1,1756295655653,1756295655917,Shift,16, weekly, physical-keyboard,0,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",2,1756295655778,1756295655886,A,65, weekly, physical-keyboard,0,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",3,1756295655977,1756295656175, ,32, weekly, physical-keyboard,1,0
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",4,1756295656989,1756295657078,n,78, weekly, physical-keyboard,2,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",5,1756295657460,1756295657597,Backspace,8, weekly, physical-keyboard,2,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",6,1756295659903,1756295660040,n,78, weekly, physical-keyboard,2,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",7,1756295660445,1756295660559,Backspace,8, weekly, physical-keyboard,2,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",8,1756295660827,1756295660958,n,78, weekly, physical-keyboard,2,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",9,1756295661025,1756295661164,c,67, weekly, physical-keyboard,3,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",10,1756295661098,1756295661216,e,69, weekly, physical-keyboard,3,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",11,1756295661432,1756295661491,Backspace,8, weekly, physical-keyboard,3,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",12,1756295661578,1756295661665,Backspace,8, weekly, physical-keyboard,3,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",13,1756295661882,1756295661977,i,73, weekly, physical-keyboard,3,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",14,1756295661993,1756295662171,c,67, weekly, physical-keyboard,4,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",15,1756295662095,1756295662214,e,69, weekly, physical-keyboard,5,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",16,1756295662249,1756295662312, ,32, weekly, physical-keyboard,6,0
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",17,1756295662677,1756295662779,r,82, weekly, physical-keyboard,7,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",18,1756295662837,1756295662949,i,73, weekly, physical-keyboard,8,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",19,1756295662929,1756295663047,v,86, weekly, physical-keyboard,9,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",20,1756295663060,1756295663204,e,69, weekly, physical-keyboard,10,1
6614435124bf16e7a24f9662,image-to-prompt,1,2,5,"A nice river with ducks, in the riverbank there are a forests and some rock.","[7,13];[18,23];[54,62];[71,75]","[2,7];[32,42]",21,1756295663195,1756295663336,r,82, weekly, physical-keyboard,11,1
