PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",0,1756228900140,1756228900383,Shift,16, monthly, physical-keyboard,0,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",1,1756228900296,1756228900348,W,87, monthly, physical-keyboard,0,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",2,1756228900720,1756228900777,r,82, monthly, physical-keyboard,1,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",3,1756228901182,1756228901239,i,73, monthly, physical-keyboard,2,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",4,1756228901477,1756228901527,t,84, monthly, physical-keyboard,3,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",5,1756228901649,1756228901704,e,69, monthly, physical-keyboard,4,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",6,1756228901768,1756228901874, ,32, monthly, physical-keyboard,5,1,0,0
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",7,1756228902130,1756228902222,a,65, monthly, physical-keyboard,6,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",8,1756228902238,1756228902309,n,78, monthly, physical-keyboard,7,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",9,1756228902428,1756228902516, ,32, monthly, physical-keyboard,8,1,0,0
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",10,1756228903660,1756228903725,8,104, monthly, physical-keyboard,9,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",11,1756228903863,1756228903934,-,109, monthly, physical-keyboard,10,1,0,1
5d40a12f4994c40001e4b80c,prompt-to-text,0,4,5,Write an 8-line poem about autumn. The poem should have a nostalgic feel.,"[0,33]","[56,73]",12,1756228904613,1756228904669,l,76, monthly, physical-keyboard,11,1,0,1
