PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",0,1756240453288,1756240453395,g,71, daily, physical-keyboard,0,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",1,1756240453804,1756240453879,e,69, daily, physical-keyboard,1,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",2,1756240453987,1756240454056,e,69, daily, physical-keyboard,2,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",3,1756240455718,1756240455787,Backspace,8, daily, physical-keyboard,2,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",4,1756240456199,1756240456265,n,78, daily, physical-keyboard,2,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",5,1756240456284,1756240456373,e,69, daily, physical-keyboard,3,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",6,1756240456569,1756240456649,r,82, daily, physical-keyboard,4,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",7,1756240456707,1756240456799,a,65, daily, physical-keyboard,5,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",8,1756240456820,1756240456877,t,84, daily, physical-keyboard,6,1
67bb91a04f5f96b7ac52242d,prompt-to-text,0,0,3,"generate me an image of a 4 bedroom duplex consisting of 3 galaries, one behind and two in front, the design should look as realistic as position with no pached up or scrambled parts, i need all the contours and lines to be carefully crafted out and all detailed clearly visible","[97,182]","[253,279]",9,1756240456927,1756240457009,e,69, daily, physical-keyboard,7,1
