PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",0,1756287472524,1756287472589,w,87, daily, physical-keyboard,0,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",1,1756287472852,1756287472900,r,82, daily, physical-keyboard,1,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",2,1756287473092,1756287473172,i,73, daily, physical-keyboard,2,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",3,1756287473340,1756287473484,t,84, daily, physical-keyboard,3,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",4,1756287473444,1756287473564,e,69, daily, physical-keyboard,4,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",5,1756287473684,1756287473740, ,32, daily, physical-keyboard,5,0
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",6,1756287473884,1756287473972,a,65, daily, physical-keyboard,6,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",7,1756287474020,1756287474092, ,32, daily, physical-keyboard,7,0
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",8,1756287474500,1756287474588,s,83, daily, physical-keyboard,8,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",9,1756287474876,1756287474932,h,72, daily, physical-keyboard,9,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",10,1756287475012,1756287475084,o,79, daily, physical-keyboard,10,1
66bb6b7e0ccbed81f3ed30a8,prompt-to-text,0,0,2,"write a short story about a hidden city beneath the ocean, where humans and magical sea creatures live togheter. Describe the architecture, dayly life, and one conflict that theatens their harmony","[160,196]","[65,102]",11,1756287475196,1756287475260,r,82, daily, physical-keyboard,11,1
