PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",0,1756285220227,1756285220374,a,65, weekly, physical-keyboard,0,1,0,1,147.0,,,335.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",1,1756285220444,1756285220562, ,32, weekly, physical-keyboard,1,1,0,0,118.0,217.0,188.0,489.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",2,1756285220794,1756285220933,t,84, weekly, physical-keyboard,2,1,0,1,139.0,350.0,371.0,717.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",3,1756285221373,1756285221511,e,69, weekly, physical-keyboard,3,1,0,1,138.0,579.0,578.0,377.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",4,1756285221611,1756285221750,e,69, weekly, physical-keyboard,4,1,0,1,139.0,238.0,239.0,924.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",5,1756285222492,1756285222535,n,78, weekly, physical-keyboard,5,1,0,1,43.0,881.0,785.0,450.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",6,1756285222755,1756285222942,a,65, weekly, physical-keyboard,6,1,0,1,187.0,263.0,407.0,383.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",7,1756285223029,1756285223138,g,71, weekly, physical-keyboard,7,1,0,1,109.0,274.0,196.0,298.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",8,1756285223216,1756285223327,e,69, weekly, physical-keyboard,8,1,0,1,111.0,187.0,189.0,356.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",9,1756285223464,1756285223572,r,82, weekly, physical-keyboard,9,1,0,1,108.0,248.0,245.0,271.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",10,1756285223632,1756285223735, ,32, weekly, physical-keyboard,10,1,0,0,103.0,168.0,163.0,1786.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",11,1756285225267,1756285225418,i,73, weekly, physical-keyboard,11,1,0,1,151.0,1635.0,1683.0,385.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",12,1756285225499,1756285225652,s,83, weekly, physical-keyboard,12,1,0,1,153.0,232.0,234.0,215.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",13,1756285225647,1756285225714, ,32, weekly, physical-keyboard,13,1,0,0,67.0,148.0,62.0,943.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",14,1756285226526,1756285226590,p,80, weekly, physical-keyboard,14,1,0,1,64.0,879.0,876.0,259.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",15,1756285226725,1756285226785,l,76, weekly, physical-keyboard,15,1,0,1,60.0,199.0,195.0,356.0
673f7365f63a4a3036aae1f2,prompt-to-image,1,4,2,a teenager is playing on his playstation in his untidy bedroom posters adorn the walls and there are clothes and fast food packaging strewn about the screen illuminates the room creating a lively chaotic atmosphere,"[0,145]","[146,214]",16,1756285226926,1756285227081,a,65, weekly, physical-keyboard,16,1,0,1,155.0,201.0,296.0,603.0
