PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",0,1756212244436,1756212244894,Shift,16, monthly, physical-keyboard,0,0,0,1,458.0,,,418.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",1,1756212244772,1756212244854,C,67, monthly, physical-keyboard,0,0,0,1,82.0,336.0,,356.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",2,1756212244986,1756212245128,a,65, monthly, physical-keyboard,1,0,0,1,142.0,214.0,274.0,250.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",3,1756212245158,1756212245236,n,78, monthly, physical-keyboard,2,0,0,1,78.0,172.0,108.0,256.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",4,1756212245303,1756212245414, ,32, monthly, physical-keyboard,3,0,0,0,111.0,145.0,178.0,392.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",5,1756212245608,1756212245695,y,89, monthly, physical-keyboard,4,0,0,1,87.0,305.0,281.0,365.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",6,1756212245804,1756212245973,o,79, monthly, physical-keyboard,5,0,0,1,169.0,196.0,278.0,278.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",7,1756212245913,1756212246082,u,85, monthly, physical-keyboard,6,0,0,1,169.0,109.0,109.0,226.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",8,1756212246033,1756212246139, ,32, monthly, physical-keyboard,7,0,0,0,106.0,120.0,57.0,323.0
5cab22cd68194f001511b2d6,text-to-prompt,1,7,2,Can you describe a turtle out for a walk along the river.,"[20,56]","[8,16]",9,1756212246226,1756212246356,d,68, monthly, physical-keyboard,8,0,1,1,130.0,193.0,217.0,204.0
