PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",0,1756265920489,1756265920670,CapsLock,20, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",1,1756265920570,1756265920671,W,87, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",2,1756265920773,1756265920835,r,82, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",3,1756265920851,1756265920923,i,73, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",4,1756265920976,1756265921043,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",5,1756265921052,1756265921163,e,69, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",6,1756265921169,1756265921237, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",7,1756265921268,1756265921325,i,73, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",8,1756265921638,1756265921685,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,prompt-to-text,1,7,7,"Write me a funny birthday letter to my best friend. She just got her nursing degree and would like to also congratulate her on her acheivement alongside my birthday wishes. Wish her very best for her new job as a nurse and tell her how much I miss her, make it funny too.","[53,251]","[253,272]",9,1756265921862,1756265921923,m,77, daily, physical-keyboard
